fname,lwlrap
00097e21.wav,0.3333333432674408
000b6cfb.wav,0.125
00116cd2.wav,0.09953703731298447
00127d14.wav,0.07275132089853287
0019adae.wav,0.043478261679410934
001b819d.wav,0.1428571492433548
001c054e.wav,0.04714912176132202
001ceaf1.wav,0.2916666567325592
001f3501.wav,0.11886792629957199
0020becb.wav,1.0
002190ca.wav,0.20000000298023224
0021e588.wav,1.0
0022e717.wav,0.5833333134651184
0024f39c.wav,0.01785714365541935
002a3dd5.wav,0.0625
002d3508.wav,0.5
002d93e0.wav,0.20000000298023224
0030c602.wav,0.07692307978868484
0035d771.wav,0.021739130839705467
0038b7f7.wav,0.20000000298023224
003e23a2.wav,0.5
003f8fd9.wav,0.02777777798473835
00406f52.wav,0.013888888992369175
0041f54a.wav,0.07692307978868484
004a8eec.wav,0.012820512987673283
004ac24a.wav,0.0555555559694767
004b1f5d.wav,0.043478261679410934
004f0d27.wav,0.1428571492433548
004f33f2.wav,0.1111111119389534
00577c11.wav,0.0476190485060215
0059dcc1.wav,0.021276595070958138
005a6d3e.wav,0.05050504952669144
0060d886.wav,0.014285714365541935
00643eb4.wav,0.020408162847161293
0064e4b6.wav,0.75
006547fa.wav,0.05000000074505806
006817ad.wav,0.25
006993cc.wav,0.09090909361839294
006d7b1d.wav,0.2678571343421936
00703e40.wav,0.05882352963089943
00728bae.wav,0.06666667014360428
00752915.wav,0.017241379246115685
00764397.wav,1.0
007bcf5c.wav,1.0
007c570e.wav,1.0
0080c2b3.wav,1.0
0080c38c.wav,0.0714285746216774
0082d1ef.wav,0.25
00832850.wav,0.5
00894595.wav,0.125
008f31f6.wav,0.20865800976753235
0091b5e2.wav,0.20000000298023224
00988b68.wav,0.03260328620672226
0098fb8c.wav,0.3333333432674408
009e88d5.wav,0.05000000074505806
00a83e1b.wav,0.12878787517547607
00acc409.wav,0.0625
00b5098f.wav,0.022727273404598236
00b698e1.wav,0.3333333432674408
00b6ed8d.wav,0.04423077031970024
00b9e265.wav,0.3333333432674408
00bea733.wav,0.8333333134651184
00c5a2da.wav,1.0
00cc36e9.wav,0.5
00ccd454.wav,0.1428571492433548
00d23728.wav,1.0
00d281c8.wav,1.0
00d32fb2.wav,1.0
00d61180.wav,0.10000000149011612
00d72135.wav,0.03423913195729256
00dd74f4.wav,0.09090909361839294
00de1887.wav,0.06620553135871887
00de18c2.wav,0.0625
00e10f1f.wav,1.0
00e1ed10.wav,0.5
00e645ea.wav,0.5
00e70ab4.wav,0.013698630034923553
00ea7b09.wav,0.03448275849223137
00f0a206.wav,1.0
00f372ab.wav,0.20000000298023224
00fb384d.wav,0.01515151560306549
00fcaf4c.wav,1.0
00fe9848.wav,0.0555555559694767
01024055.wav,0.3333333432674408
01044063.wav,0.03795206919312477
0104cf7d.wav,0.02222222276031971
0106eb6e.wav,0.07692307978868484
0107399e.wav,1.0
0107d033.wav,0.024390242993831635
010a1537.wav,1.0
010a535c.wav,0.0833333358168602
010af543.wav,0.1741071492433548
011254b9.wav,0.16224747896194458
01131cb2.wav,0.028605015948414803
0114bd77.wav,1.0
0115e06c.wav,0.03030303120613098
0116583f.wav,0.5
011729fb.wav,0.05745341628789902
011789b4.wav,1.0
011fac4e.wav,1.0
012293ea.wav,0.20000000298023224
01261782.wav,0.05000000074505806
012ec31b.wav,0.0476190485060215
012ef7ae.wav,0.020408162847161293
013978ee.wav,0.0833333358168602
013a1712.wav,0.05882352963089943
013d4747.wav,0.02777777798473835
0141bddf.wav,1.0
01421f72.wav,0.5
01472913.wav,0.014705882407724857
014f7e91.wav,0.032258063554763794
01500958.wav,0.5232558250427246
0151c25a.wav,0.10000000149011612
0151ec95.wav,0.04261862486600876
01530225.wav,0.3333333432674408
015965c3.wav,0.07692307978868484
015aeac7.wav,0.08888889104127884
015e1494.wav,0.30000001192092896
01629c63.wav,0.03448275849223137
016380e8.wav,0.0357142873108387
01652a34.wav,0.3333333432674408
01676032.wav,0.05882352963089943
0168bf88.wav,0.05000000074505806
01694099.wav,0.0555555559694767
016c995b.wav,0.25
016dc25b.wav,0.20000000298023224
01749ae3.wav,0.125
0175f0d5.wav,1.0
01790380.wav,0.2361111044883728
017c8dd1.wav,0.3333333432674408
01883a62.wav,1.0
018bbf04.wav,0.2083333283662796
018bd1e2.wav,1.0
0194d48a.wav,0.014705882407724857
01a21197.wav,0.05263157933950424
01a66dad.wav,0.3333333432674408
01a8190e.wav,0.07692307978868484
01acc75b.wav,0.0476190485060215
01afbd57.wav,0.1666666716337204
01b1c9a1.wav,0.025641025975346565
01b2b6e8.wav,0.01666666753590107
01b9fa1e.wav,1.0
01c00264.wav,0.04248366132378578
01c0e370.wav,0.5
01c291c1.wav,0.0833333358168602
01cc2670.wav,0.02500000037252903
01cf98ed.wav,1.0
01da22e9.wav,0.5909090638160706
01daa2d0.wav,0.3333333432674408
01dcbf94.wav,0.20000000298023224
01dfd6ac.wav,1.0
01e454e9.wav,0.1666666716337204
01e5d7ca.wav,0.02777777798473835
01e89bc3.wav,0.0833333358168602
01e8d258.wav,1.0
01e95717.wav,0.09090909361839294
01f100f1.wav,0.016393441706895828
01f5264a.wav,0.20000000298023224
01f7023f.wav,0.03448275849223137
01f7b121.wav,0.03703703731298447
01fb0ef1.wav,0.5
01fb3073.wav,0.02857142873108387
01fe9090.wav,0.03448275849223137
01ffd3e9.wav,1.0
0200b7fb.wav,0.01587301678955555
02014dca.wav,0.3333333432674408
0203a0ce.wav,0.25
02060d5e.wav,0.022727273404598236
0208f174.wav,0.3333333432674408
020a738e.wav,0.05000000074505806
020ce2d3.wav,0.05000000074505806
020d7b69.wav,0.75
020da61a.wav,0.02222222276031971
020dd05c.wav,0.5
