fname,labels,noisy_curated,fname_path,lwlrap,top50
00097e21.wav,Bathtub_(filling_or_washing),noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/00097e21.wav,0.3333333432674408,False
000b6cfb.wav,Motorcycle,noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/000b6cfb.wav,0.125,False
00116cd2.wav,"Marimba_and_xylophone,Glockenspiel",noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/00116cd2.wav,0.09953703731298447,False
00127d14.wav,"Water_tap_and_faucet,Sink_(filling_or_washing)",noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/00127d14.wav,0.07275132089853287,False
0019adae.wav,Raindrop,noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/0019adae.wav,0.043478261679410934,False
001b819d.wav,Bass_guitar,noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/001b819d.wav,0.1428571492433548,False
001c054e.wav,"Raindrop,Trickle_and_dribble",noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/001c054e.wav,0.04714912176132202,False
001ceaf1.wav,"Strum,Acoustic_guitar",noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/001ceaf1.wav,0.2916666567325592,False
001f3501.wav,"Bass_drum,Hi-hat",noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/001f3501.wav,0.11886792629957199,False
0020becb.wav,Harmonica,noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/0020becb.wav,1.0,True
002190ca.wav,Slam,noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/002190ca.wav,0.20000000298023224,True
0021e588.wav,Scissors,noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/0021e588.wav,1.0,True
0022e717.wav,"Cheering,Crowd",noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/0022e717.wav,0.5833333134651184,False
0024f39c.wav,Crackle,noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/0024f39c.wav,0.01785714365541935,False
002a3dd5.wav,Purr,noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/002a3dd5.wav,0.0625,False
002d3508.wav,Harmonica,noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/002d3508.wav,0.5,False
002d93e0.wav,Crowd,noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/002d93e0.wav,0.20000000298023224,False
0030c602.wav,Yell,noisy,/home/jupyter/kaggle/freesound-audio-tagging-2019/input/train_noisy/0030c602.wav,0.07692307978868484,False
